SITE_ID,SITE_NAME,DEPTH,BATHYMETRY_AREA
US-Ann,Annie,0,343730
US-Ann,Annie,1,315860
US-Ann,Annie,2,287990
US-Ann,Annie,3,260120
US-Ann,Annie,4,222960
US-Ann,Annie,5,185800
US-Ann,Annie,6,176510
US-Ann,Annie,7,157930
US-Ann,Annie,8,148640
US-Ann,Annie,9,130060
US-Ann,Annie,10,120770
US-Ann,Annie,11,111480
US-Ann,Annie,12,102190
US-Ann,Annie,13,92900
US-Ann,Annie,14,83610
US-Ann,Annie,15,74320
US-Ann,Annie,16,65030
US-Ann,Annie,17,37160
US-Ann,Annie,18,18580
US-Ann,Annie,19,9290
