SITE_ID,SITE_NAME,DEPTH,BATHYMETRY_AREA
AU-Arg,Argyle,0,1013750020
AU-Arg,Argyle,1,946249980
AU-Arg,Argyle,2,900124990
AU-Arg,Argyle,3,859812480
AU-Arg,Argyle,4,772750020
AU-Arg,Argyle,5,737562500
AU-Arg,Argyle,6,689500030
AU-Arg,Argyle,7,654374980
AU-Arg,Argyle,8,621312510
AU-Arg,Argyle,9,550312510
AU-Arg,Argyle,10,519000000
AU-Arg,Argyle,11,487187488
AU-Arg,Argyle,12,456562496
AU-Arg,Argyle,13,425750016
AU-Arg,Argyle,14,336875008
AU-Arg,Argyle,15,312624992
AU-Arg,Argyle,16,286437504
AU-Arg,Argyle,17,260124992
AU-Arg,Argyle,18,237562496
AU-Arg,Argyle,19,146124992
AU-Arg,Argyle,20,131562496
AU-Arg,Argyle,21,117500000
AU-Arg,Argyle,22,106062496
AU-Arg,Argyle,23,95875000
AU-Arg,Argyle,24,59437500
AU-Arg,Argyle,25,53250000
AU-Arg,Argyle,26,47562500
AU-Arg,Argyle,27,41250000
AU-Arg,Argyle,28,35937500
AU-Arg,Argyle,29,19187500
AU-Arg,Argyle,30,17312500
AU-Arg,Argyle,31,15562500
AU-Arg,Argyle,32,13937500
AU-Arg,Argyle,33,12437500
AU-Arg,Argyle,34,10875000
AU-Arg,Argyle,35,9312500
AU-Arg,Argyle,36,7875000
AU-Arg,Argyle,37,6812500
AU-Arg,Argyle,38,4750000
AU-Arg,Argyle,39,3062500
AU-Arg,Argyle,40,2187500
AU-Arg,Argyle,41,1812500
AU-Arg,Argyle,42,1437500
AU-Arg,Argyle,43,937500
AU-Arg,Argyle,44,375000
