SITE_ID,SITE_NAME,TIMESTAMP,DEPTH,WTEMP
US-Del,Delavan,19970219,0.5,1.6
US-Del,Delavan,19970219,1,1.6
US-Del,Delavan,19970219,2,1.7
US-Del,Delavan,19970219,3,1.8
US-Del,Delavan,19970219,4,1.8
US-Del,Delavan,19970219,5,1.8
US-Del,Delavan,19970219,6,1.8
US-Del,Delavan,19970219,7,1.8
US-Del,Delavan,19970219,8,1.8
US-Del,Delavan,19970219,9,1.9
US-Del,Delavan,19970219,10,2
US-Del,Delavan,19970219,11,2.1
US-Del,Delavan,19970219,12,2.2
US-Del,Delavan,19970219,13,2.3
US-Del,Delavan,19970219,14,2.5
US-Del,Delavan,19970219,15,2.8
US-Del,Delavan,19970219,15.5,3
US-Del,Delavan,19970415,0.5,5.6
US-Del,Delavan,19970415,1,5.6
US-Del,Delavan,19970415,2,5.6
US-Del,Delavan,19970415,3,5.6
US-Del,Delavan,19970415,4,5.6
US-Del,Delavan,19970415,5,5.6
US-Del,Delavan,19970415,6,5.6
US-Del,Delavan,19970415,7,5.6
US-Del,Delavan,19970415,8,5.6
US-Del,Delavan,19970415,9,5.6
US-Del,Delavan,19970415,10,5.6
US-Del,Delavan,19970415,11,5.5
US-Del,Delavan,19970415,12,5.5
US-Del,Delavan,19970415,13,5.5
US-Del,Delavan,19970415,14,5.5
US-Del,Delavan,19970415,15,5.5
US-Del,Delavan,19970415,16,5.5
US-Del,Delavan,19970513,0.5,11.5
US-Del,Delavan,19970513,1,11.2
US-Del,Delavan,19970513,2,11.2
US-Del,Delavan,19970513,3,11.2
US-Del,Delavan,19970513,4,11.1
US-Del,Delavan,19970513,5,11.1
US-Del,Delavan,19970513,6,11.1
US-Del,Delavan,19970513,7,11.1
US-Del,Delavan,19970513,8,11.1
US-Del,Delavan,19970513,9,11.1
US-Del,Delavan,19970513,10,11.1
US-Del,Delavan,19970513,11,11.1
US-Del,Delavan,19970513,12,11.1
US-Del,Delavan,19970513,13,11.1
US-Del,Delavan,19970513,14,11.1
US-Del,Delavan,19970513,15,11.1
US-Del,Delavan,19970513,15.5,11
US-Del,Delavan,19970610,0.5,18.1
US-Del,Delavan,19970610,1,17.8
US-Del,Delavan,19970610,2,17.5
US-Del,Delavan,19970610,3,17.4
US-Del,Delavan,19970610,4,17.3
US-Del,Delavan,19970610,5,16.3
US-Del,Delavan,19970610,6,15.7
US-Del,Delavan,19970610,7,15.2
US-Del,Delavan,19970610,8,14.8
US-Del,Delavan,19970610,9,14.5
US-Del,Delavan,19970610,10,14.4
US-Del,Delavan,19970610,11,14.1
US-Del,Delavan,19970610,12,13.8
US-Del,Delavan,19970610,13,13.7
US-Del,Delavan,19970610,14,13.5
US-Del,Delavan,19970610,15,13
US-Del,Delavan,19970610,16,12.9
US-Del,Delavan,19970715,0.5,24.6
US-Del,Delavan,19970715,1,24.4
US-Del,Delavan,19970715,2,24
US-Del,Delavan,19970715,3,23.9
US-Del,Delavan,19970715,4,23.8
US-Del,Delavan,19970715,5,23.7
US-Del,Delavan,19970715,6,22.4
US-Del,Delavan,19970715,7,21.7
US-Del,Delavan,19970715,8,21.3
US-Del,Delavan,19970715,9,19.7
US-Del,Delavan,19970715,10,17.2
US-Del,Delavan,19970715,11,15.4
US-Del,Delavan,19970715,12,14.8
US-Del,Delavan,19970715,13,14.4
US-Del,Delavan,19970715,14,14.2
US-Del,Delavan,19970715,15,13.9
US-Del,Delavan,19970715,15.5,13.8
US-Del,Delavan,19970814,0.5,22.5
US-Del,Delavan,19970814,1,22.5
US-Del,Delavan,19970814,2,22.5
US-Del,Delavan,19970814,3,22.5
US-Del,Delavan,19970814,4,22.5
US-Del,Delavan,19970814,5,22.5
US-Del,Delavan,19970814,6,22.5
US-Del,Delavan,19970814,7,22.5
US-Del,Delavan,19970814,8,22.4
US-Del,Delavan,19970814,9,21.8
US-Del,Delavan,19970814,10,18.4
US-Del,Delavan,19970814,11,16.8
US-Del,Delavan,19970814,12,15.3
US-Del,Delavan,19970814,13,14.7
US-Del,Delavan,19970814,14,14.3
US-Del,Delavan,19970814,15,14.1
US-Del,Delavan,19970814,16,13.8
US-Del,Delavan,19970814,16.5,13.7
US-Del,Delavan,19971117,0.5,6.6
US-Del,Delavan,19971117,1,6.6
