SITE_ID,SITE_NAME,DEPTH,BATHYMETRY_AREA
UK-Est,EsthwaiteWater,0,956565
UK-Est,EsthwaiteWater,1,849502
UK-Est,EsthwaiteWater,2,773103
UK-Est,EsthwaiteWater,3,699232
UK-Est,EsthwaiteWater,4,642365
UK-Est,EsthwaiteWater,5,584819
UK-Est,EsthwaiteWater,6,533841
UK-Est,EsthwaiteWater,7,485632
UK-Est,EsthwaiteWater,8,430580
UK-Est,EsthwaiteWater,9,373818
UK-Est,EsthwaiteWater,10,306442
UK-Est,EsthwaiteWater,11,233792
UK-Est,EsthwaiteWater,12,158770
UK-Est,EsthwaiteWater,13,103929
UK-Est,EsthwaiteWater,14,51139
UK-Est,EsthwaiteWater,15,8337
UK-Est,EsthwaiteWater,16,0
