SITE_ID,SITE_NAME,DEPTH,BATHYMETRY_AREA
CH-Neu,Neuchatel,0,217900000
CH-Neu,Neuchatel,9,162500000
CH-Neu,Neuchatel,19,152000000
CH-Neu,Neuchatel,29,142000000
CH-Neu,Neuchatel,39,132000000
CH-Neu,Neuchatel,49,122000000
CH-Neu,Neuchatel,59,110000000
CH-Neu,Neuchatel,69,98000000
CH-Neu,Neuchatel,79,85000000
CH-Neu,Neuchatel,89,75000000
CH-Neu,Neuchatel,99,65000000
CH-Neu,Neuchatel,109,57000000
CH-Neu,Neuchatel,119,46000000
CH-Neu,Neuchatel,129,32000000
CH-Neu,Neuchatel,139,10000000
CH-Neu,Neuchatel,149,1000000
CH-Neu,Neuchatel,153,10000
CH-Neu,Neuchatel,154,0
