SITE_ID,SITE_NAME,DEPTH,BATHYMETRY_AREA 
DE-Scharmutzel,Scharmutzel,0.0,11931782.66 
DE-Scharmutzel,Scharmutzel,1.0,11923887.16 
DE-Scharmutzel,Scharmutzel,2.0,10695828.43 
DE-Scharmutzel,Scharmutzel,3.0,9948696.81 
DE-Scharmutzel,Scharmutzel,4.0,9227731.01 
DE-Scharmutzel,Scharmutzel,5.0,8757875.55 
DE-Scharmutzel,Scharmutzel,6.0,8139406.78 
DE-Scharmutzel,Scharmutzel,7.0,7262581.48 
DE-Scharmutzel,Scharmutzel,8.0,6578468.20 
DE-Scharmutzel,Scharmutzel,9.0,5852578.79 
DE-Scharmutzel,Scharmutzel,10.0,5092156.41 
DE-Scharmutzel,Scharmutzel,11.0,4602056.89 
DE-Scharmutzel,Scharmutzel,12.0,4165898.14 
DE-Scharmutzel,Scharmutzel,13.0,3609524.51 
DE-Scharmutzel,Scharmutzel,14.0,3022619.52 
DE-Scharmutzel,Scharmutzel,15.0,2692030.39 
DE-Scharmutzel,Scharmutzel,16.0,2390054.48 
DE-Scharmutzel,Scharmutzel,17.0,2113625.58 
DE-Scharmutzel,Scharmutzel,18.0,1780279.38 
DE-Scharmutzel,Scharmutzel,19.0,1522225.67 
DE-Scharmutzel,Scharmutzel,20.0,1214049.95 
DE-Scharmutzel,Scharmutzel,21.0,947647.09 
DE-Scharmutzel,Scharmutzel,22.0,702310.94 
DE-Scharmutzel,Scharmutzel,23.0,554758.63 
DE-Scharmutzel,Scharmutzel,24.0,444112.17 
DE-Scharmutzel,Scharmutzel,25.0,348637.48 
DE-Scharmutzel,Scharmutzel,26.0,255616.55 
DE-Scharmutzel,Scharmutzel,27.0,179797.24 
DE-Scharmutzel,Scharmutzel,28.0,112045.85 
DE-Scharmutzel,Scharmutzel,29.0,61672.81 
DE-Scharmutzel,Scharmutzel,30.0,33089.86 
DE-Scharmutzel,Scharmutzel,31.0,1139.49 
DE-Scharmutzel,Scharmutzel,32.0,0.00 
