SITE_ID,SITE_NAME,TIMESTAMP_START,TIMESTAMP_END,DEPTH,WTEMP
US-Spa,Sparkling,199506011600,199506011700,0.01,19.25
US-Spa,Sparkling,199506011600,199506011700,1,16.88
US-Spa,Sparkling,199506011600,199506011700,4,13.52
US-Spa,Sparkling,199506011600,199506011700,5,13.01
US-Spa,Sparkling,199506011600,199506011700,6,12.34
US-Spa,Sparkling,199506011600,199506011700,7,10.98
US-Spa,Sparkling,199506011600,199506011700,8,8.52
US-Spa,Sparkling,199506011700,199506011800,0.01,18.89
US-Spa,Sparkling,199506011700,199506011800,1,16.51
US-Spa,Sparkling,199506011700,199506011800,4,13.59
US-Spa,Sparkling,199506011700,199506011800,5,13.13
US-Spa,Sparkling,199506011700,199506011800,6,12.45
US-Spa,Sparkling,199506011700,199506011800,7,10.58
US-Spa,Sparkling,199506011700,199506011800,8,7.8
US-Spa,Sparkling,199506011800,199506011900,0.01,18.76
US-Spa,Sparkling,199506011800,199506011900,1,16.79
US-Spa,Sparkling,199506011800,199506011900,4,13.72
US-Spa,Sparkling,199506011800,199506011900,5,13.24
US-Spa,Sparkling,199506011800,199506011900,6,12.64
US-Spa,Sparkling,199506011800,199506011900,7,11.16
US-Spa,Sparkling,199506011800,199506011900,8,8.22
US-Spa,Sparkling,199506011900,199506012000,0.01,18.67
US-Spa,Sparkling,199506011900,199506012000,1,17.28
US-Spa,Sparkling,199506011900,199506012000,4,13.73
US-Spa,Sparkling,199506011900,199506012000,5,13.12
US-Spa,Sparkling,199506011900,199506012000,6,12.55
US-Spa,Sparkling,199506011900,199506012000,7,11.62
US-Spa,Sparkling,199506011900,199506012000,8,8.09
US-Spa,Sparkling,199506012000,199506012100,0.01,18.57
US-Spa,Sparkling,199506012000,199506012100,1,17.23
US-Spa,Sparkling,199506012000,199506012100,4,13.45
US-Spa,Sparkling,199506012000,199506012100,5,12.87
US-Spa,Sparkling,199506012000,199506012100,6,12.45
US-Spa,Sparkling,199506012000,199506012100,7,11.55
US-Spa,Sparkling,199506012000,199506012100,8,8.38
US-Spa,Sparkling,199506012100,199506012200,0.01,18.72
US-Spa,Sparkling,199506012100,199506012200,1,17.11
US-Spa,Sparkling,199506012100,199506012200,4,13.28
US-Spa,Sparkling,199506012100,199506012200,5,12.76
US-Spa,Sparkling,199506012100,199506012200,6,12.39
US-Spa,Sparkling,199506012100,199506012200,7,11.43
US-Spa,Sparkling,199506012100,199506012200,8,8.13
US-Spa,Sparkling,199506012200,199506012300,0.01,18.37
US-Spa,Sparkling,199506012200,199506012300,1,17.09
US-Spa,Sparkling,199506012200,199506012300,4,13.46
US-Spa,Sparkling,199506012200,199506012300,5,12.92
US-Spa,Sparkling,199506012200,199506012300,6,12.5
US-Spa,Sparkling,199506012200,199506012300,7,11.37
US-Spa,Sparkling,199506012200,199506012300,8,8.57
US-Spa,Sparkling,199506012300,199506020000,0.01,18.23
US-Spa,Sparkling,199506012300,199506020000,1,16.98
US-Spa,Sparkling,199506012300,199506020000,4,13.57
US-Spa,Sparkling,199506012300,199506020000,5,12.99
US-Spa,Sparkling,199506012300,199506020000,6,12.61
US-Spa,Sparkling,199506012300,199506020000,7,11.03
US-Spa,Sparkling,199506012300,199506020000,8,8.66
US-Spa,Sparkling,199506020000,199506020100,0.01,18.22
US-Spa,Sparkling,199506020000,199506020100,1,16.97
US-Spa,Sparkling,199506020000,199506020100,4,13.41
US-Spa,Sparkling,199506020000,199506020100,5,12.97
US-Spa,Sparkling,199506020000,199506020100,6,12.35
US-Spa,Sparkling,199506020000,199506020100,7,11.08
US-Spa,Sparkling,199506020000,199506020100,8,9.42
US-Spa,Sparkling,199506020100,199506020200,0.01,17.97
US-Spa,Sparkling,199506020100,199506020200,1,17.05
US-Spa,Sparkling,199506020100,199506020200,4,13.54
US-Spa,Sparkling,199506020100,199506020200,5,13.03
US-Spa,Sparkling,199506020100,199506020200,6,12.18
US-Spa,Sparkling,199506020100,199506020200,7,11.12
US-Spa,Sparkling,199506020100,199506020200,8,8.56
US-Spa,Sparkling,199506020200,199506020300,0.01,17.61
US-Spa,Sparkling,199506020200,199506020300,1,17.1
US-Spa,Sparkling,199506020200,199506020300,4,13.56
US-Spa,Sparkling,199506020200,199506020300,5,13.02
US-Spa,Sparkling,199506020200,199506020300,6,11.95
US-Spa,Sparkling,199506020200,199506020300,7,10.48
US-Spa,Sparkling,199506020200,199506020300,8,8.55
US-Spa,Sparkling,199506020300,199506020400,0.01,17.51
US-Spa,Sparkling,199506020300,199506020400,1,16.95
US-Spa,Sparkling,199506020300,199506020400,4,13.44
US-Spa,Sparkling,199506020300,199506020400,5,13
US-Spa,Sparkling,199506020300,199506020400,6,12.34
US-Spa,Sparkling,199506020300,199506020400,7,11.12
US-Spa,Sparkling,199506020300,199506020400,8,8.52
US-Spa,Sparkling,199506020400,199506020500,0.01,17.28
US-Spa,Sparkling,199506020400,199506020500,1,16.91
US-Spa,Sparkling,199506020400,199506020500,4,13.56
US-Spa,Sparkling,199506020400,199506020500,5,12.97
US-Spa,Sparkling,199506020400,199506020500,6,12.49
US-Spa,Sparkling,199506020400,199506020500,7,11.33
US-Spa,Sparkling,199506020400,199506020500,8,8.38
US-Spa,Sparkling,199506020500,199506020600,0.01,17.44
US-Spa,Sparkling,199506020500,199506020600,1,16.88
US-Spa,Sparkling,199506020500,199506020600,4,13.62
US-Spa,Sparkling,199506020500,199506020600,5,13.02
US-Spa,Sparkling,199506020500,199506020600,6,12.4
US-Spa,Sparkling,199506020500,199506020600,7,10.91
US-Spa,Sparkling,199506020500,199506020600,8,8.56
US-Spa,Sparkling,199506020600,199506020700,0.01,17.7
US-Spa,Sparkling,199506020600,199506020700,1,16.77
US-Spa,Sparkling,199506020600,199506020700,4,13.53
US-Spa,Sparkling,199506020600,199506020700,5,12.96
US-Spa,Sparkling,199506020600,199506020700,6,12.46
