SITE_ID,SITE_NAME,DEPTH,BATHYMETRY_AREA
US-Two,TwoSisters,0,2832430
US-Two,TwoSisters,1,2682565.55555555
US-Two,TwoSisters,2,2582118.32846715
US-Two,TwoSisters,3,2508280.37226277
US-Two,TwoSisters,4,2434442.41605839
US-Two,TwoSisters,5,2294385.06521739
US-Two,TwoSisters,6,2068943.1459854
US-Two,TwoSisters,7,1797045.11764706
US-Two,TwoSisters,8,1648283.35294118
US-Two,TwoSisters,9,1501245.7826087
US-Two,TwoSisters,10,1354190.11678832
US-Two,TwoSisters,11,1206514.20437956
US-Two,TwoSisters,12,1058838.2919708
US-Two,TwoSisters,13,911889.565217387
US-Two,TwoSisters,14,764962.22627737
US-Two,TwoSisters,15,617286.313868606
US-Two,TwoSisters,16,469609.72262773
US-Two,TwoSisters,17,321933.489051088
US-Two,TwoSisters,18,174661.294964023
US-Two,TwoSisters,19,0
